word,number
有利,10648
信,10640
價差,10631
機關,10563
辦法,10556
完全,10551
部門,10530
題材,10518
包含,10507
出貨量,10503
平盤,10502
高雄,10496
反,10490
投,10489
大型,10467
人工,10463
稅前,10462
相互,10461
第一季,10447
作業,10440
一路,10406
概念股,10390
之間,10389
功能,10387
自結,10380
檔,10378
註,10355
保持,10351
編輯,10337
持平,10313
公佈,10309
效應,10309
業主,10284
製程,10274
周五,10271
考慮,10269
國泰,10260
外匯,10252
百分比,10248
改變,10242
契約,10233
事,10228
系列,10219
談判,10218
原本,10215
民國,10214
展開,10213
主力,10213
貸款,10213
位,10213
認列,10201
紅,10188
年增率,10180
中央,10180
中鋼,10164
開出,10161
工程,10150
背書,10143
條款,10140
盤勢,10139
年期,10135
奈米,10112
電池,10109
之上,10079
太陽能,10061
拖累,10054
並未,10042
債權,10035
融券,10029
回升,10016
模式,10011
方向,10009
夏普,10008
核心,10004
也將,9994
用戶,9977
能夠,9968
透露,9962
請問,9960
蔡英文,9945
ADR,9945
稱,9940
人數,9926
總金額,9897
加入,9895
加速,9888
大關,9887
退休,9886
單月,9865
波段,9847
物聯網,9844
順利,9836
華為,9803
不足,9785
上午,9780
食品,9777
轉型,9773
多方,9768
電視,9766
通訊,9750
成長率,9738
部分,9731
季增,9720
兩個,9706
籌碼,9699
延續,9691
項,9674
採取,9672
占比,9672
上述,9671
令,9662
經驗,9645
發言人,9641
外界,9629
元兌,9626
新股,9626
資,9620
六個,9616
IC,9615
期待,9602
週四,9597
合約,9592
生活,9587
週三,9583
國民黨,9574
數位,9566
放大,9563
佔,9555
面對,9551
嚴重,9535
下挫,9513
量,9504
之下,9499
上週,9492
購買,9484
黑,9467
gl,9461
goo,9460
係,9448
盤面,9447
配合,9431
成交值,9415
轉換,9412
近年,9410
內部,9379
週一,9377
電動車,9349
國,9340
執行長,9328
具有,9326
臺灣,9319
歲,9319
金融股,9309
回檔,9276
首度,9268
零組件,9262
通膨,9258
A股,9254
努力,9235
投顧,9226
一覽表,9222
危機,9213
產量,9187
款,9177
北韓,9169
除息,9158
理由,9155
反應,9140
升值,9134
工廠,9118
月增,9109
出席,9091
金屬,9085
號,9084
值得,9083
不錯,9081
升級,9073
入息,9067
特斯拉,9051
尾盤,9048
速度,9045
保護,9039
目的,9021
完整,9018
擔任,9006
決策,9004
全國,8995
台北市,8994
下午,8992
基準日,8974
惟,8972
近日,8967
聲明,8937
專家,8933
imgur,8931
生效,8922
保守,8914
外電,8910
首季,8894
千元,8891
有所,8889
兌換,8888
接近,8850
空,8832
正文,8816
日線,8796
利用,8794
產生,8784
基點,8773
特別股,8767
量能,8764
議題,8753
理財,8726
強化,8701
智慧型,8697
證交所,8684
跌停,8682
週二,8674
有效,8671
xx,8637
萬人,8625
網站,8620
黃,8599
零售,8575
tw,8560
分配,8560
比特幣,8558
本周,8546
創新高,8533
擔心,8522
萬點,8520
信託,8510
建立,8501
穩健,8488
裝置,8465
國泰金,8457
US,8451
後市,8436
軟體,8433
臺,8415
程序,8413
經濟部,8408
走,8406
不變,8402
機器人,8397
新加坡,8397
news,8395
不動產,8387
華新科,8384
測試,8380
對象,8379
材料,8354
併購,8318
即時,8308
領先,8304
漲勢,8301
薪資,8291
重,8280
VR,8280
加強,8273
行為,8266
底,8264
財政部,8263
採購,8262
大量,8260
歸屬於,8258
態度,8256
指,8255
提到,8251
晶圓,8251
鏡頭,8247
相信,8241
處於,8226
龍頭,8201
站上,8200
計劃,8185
代理,8183
前景,8176
緣由,8172
發放,8162
範圍,8155
結合,8151
具體,8146
挹注,8141
增,8127
MSCI,8121
異動,8120
具,8113
恢復,8099
回應,8089
大增,8070
擔憂,8068
高階,8058
散戶,8056
獲,8035
KD,8030
代工,8007
疑慮,7999
特定,7983
夥伴,7974
量產,7972
越南,7964
調降,7961
立委,7961
效益,7958
亞馬遜,7949
控股,7943
區域,7929
避免,7928
打造,7918
預算,7904
會計,7895
科技股,7888
所得稅,7878
行政院,7863
上周,7858
脫歐,7850
過程,7845
LED,7837
違反,7816
歐,7813
電競,7798
大同,7794
航空,7794
小幅,7792
前次,7788
攀升,7784
計,7761
中時,7742
鏈,7721
DRAM,7709
配發,7708
開,7706
盤,7697
目標價,7689
群創,7688
模組,7678
合理,7677
分享,7657
過戶,7654
普遍,7647
小弟,7636
印尼,7634
表,7622
中信金,7593
預定,7590
文,7588
程度,7582
數字,7578
成交價,7576
兆元,7554
勞工,7549
最高,7548
先進,7546
債務,7541
弱勢,7530
聯邦,7523
每桶,7509
私募,7505
新機,7498
再次,7493
專案,7492
P,7484
最多,7457
萬張,7453
可成,7449
納入,7447
觀望,7438
遠,7430
人才,7424
似乎,7423
金控,7416
文章,7405
虛擬,7395
創造,7395
債,7390
數,7387
增速,7373
俄羅斯,7371
協會,7367
排除,7364
多空,7363
兩年,7362
漲價,7357
優惠,7354
形成,7346
年線,7335
多數,7331
焦點,7328
水泥,7324
相比,7316
前三季,7315
超越,7307
這一,7300
周,7300
富邦金,7298
家庭,7297
線,7284
家數,7279
監察人,7277
開低,7277
售,7275
價位,7274
出售,7266
自由,7252
供給,7248
利空,7212
路透社,7204
任期,7198
萬桶,7198
美金,7190
中國時報,7190
跡象,7188
週,7168
強,7163
戰略,7161
TWD,7158
賺錢,7152
核准,7147
首次,7141
刪除,7131
轉為,7128
蘋概股,7112
迄今,7110
正常,7100
加拿大,7100
充實,7099
官方,7081
三年,7078
回補,7077
通路,7074
雙,7073
國外,7072
公噸,7068
N,7061
必需,7061
了解,7055
時代,7054
份,7053
未依,7053
OLED,7040
提前,7023
伊朗,7019
記者會,7015
機械,7014
責任,7010
最終,7009
報酬,7009
總裁,7007
根本,7005
中間價,6996
同樣,6993
反映,6991
高通,6983
之外,6978
工具,6976
一點,6971
增幅,6965
群益,6964
USD,6962
填寫,6962
對此,6958
主因,6950
帳戶,6943
本週,6935
光學,6933
放緩,6922
雲端,6917
兩,6913
年來,6907
原物料,6881
緊張,6869
付款,6864
電子股,6863
走低,6847
教育,6840
排名,6840
金,6840
論壇,6838
亞股,6830
庫藏股,6812
滬深,6803
率,6801
自動化,6786
依舊,6780
協商,6772
矽晶圓,6765
智能,6764
標普,6760
全新,6760
澳幣,6746
實質,6744
四大,6713
收斂,6695
態勢,6695
上市櫃,6676
華,6673
贏家,6673
跳空,6657
競爭力,6632
陷入,6632
臉書,6632
這項,6616
i,6614
當前,6597
制度,6596
走強,6589
品質,6588
我國,6584
環球晶,6574
當月,6574
五年,6562
共識,6554
負債,6551
找,6542
警告,6540
地點,6535
日月光,6512
日經,6507
陸股,6486
績效,6484
除權,6480
籌碼面,6474
法國,6458
審查,6458
下修,6457
承諾,6451
房地產,6445
線上,6438
結算,6433
簡歷,6424
國會,6422
評價,6410
定期,6409
意外,6405
OPEC,6405
將是,6400
萬噸,6395
類,6393
法律,6385
開高,6382
環保,6380
擴張,6378
大選,6372
走跌,6355
謝謝,6354
合資,6351
碩,6345
業界,6340
約定,6338
循環,6334
主權,6330
台商,6325
日至,6323
外國,6320
收漲,6319
財政,6319
北市,6316
原則,6313
倫敦,6305
存在,6303
幾年,6301
簽署,6297
設立,6294
暫停,6288
保障,6286
周四,6279
容易,6278
南亞科,6269
亮眼,6265
一起,6254
－,6246
達克,6231
Apple,6220
通知,6216
意願,6201
朋友,6194
那斯,6192
處,6184
砍,6180
明天,6174
恭喜,6173
中華電,6159
承認,6159
位於,6149
發,6144
聯盟,6130
效率,6125
小時,6123
舊,6121
字,6116
實體,6113
件,6086
深圳,6072
優先,6072
高度,6069
第二,6065
認股,6063
制裁,6059
疲弱,6057
各國,6052
公司債,6045
新光金,6043
揭露,6041
越來越,6037
最佳,6032
台中,6027
X,6025
部份,6025
房價,6022
旅遊,6020
英特爾,6019
原先,6019
宏,6014
淡季,6012
相同,6012
利潤,6006
觀光,6002
加快,5999
立法院,5996
支援,5995
偏多,5987
格式,5986
小米,5983
習近平,5979
動作,5976
提醒,5972
擬,5971
交流,5968
利息,5967
周一,5962
調漲,5954
不利,5950
玉晶光,5948
日止,5942
給予,5937
文化,5934
電商,5929
負責,5914
上攻,5913
交叉,5912
旺宏,5911
寬鬆,5910
凱基,5909
聯,5906
代,5901
韓圜,5895
jpg,5886
每個,5886
收高,5885
物價,5883
所得,5874
房市,5872
泰,5871
準則,5856
環球,5852
流動性,5847
體驗,5843
人口,5841
監管,5840
情緒,5835
Inc,5831
購物,5826
職務,5823
逆勢,5821
碼,5816
不到,5809
觸及,5795
上季,5791
價,5789
交通,5783
掌握,5780
預料,5779
委員,5778
最新,5777
區塊,5777
簡單,5760
明確,5759
引述,5753
Ptt,5748
網址,5739
終止,5738
華爾街日報,5737
願意,5736
佈局,5735
促進,5725
難,5717
周二,5714
發佈,5713
高峰,5713
請益,5712
登記,5708
專利,5707
將有,5703
中共,5702
站,5701
存款,5699
總計,5699
損,5698
兆豐金,5698
加,5692
歐美,5691
拉高,5687
拓展,5682
傳產,5679
賣權,5679
股王,5679
鼓勵,5676
每月,5663
行銷,5656
商務部,5643
協定,5638
固定,5630
訂定,5630
回到,5628
兩大,5621
三個,5614
萬台,5609
方法,5607
年初,5604
評等,5602
體系,5597
周三,5595
聚焦,5591
變更,5581
不用,5579
流動,5577
CNY,5573
歐式,5570
轉投資,5570
不佳,5569
行政,5568
縮減,5554
東京,5551
事情,5550
買氣,5550
相當於,5548
趨緩,5546
法院,5540
伺服器,5538
看待,5528
東芝,5521
買權,5521
否,5517
幫助,5517
全台,5515
證券商,5514
F,5513
澳洲,5511
追蹤,5508
股本,5508
動力,5505
華邦電,5493
事宜,5489
永豐,5488
赴,5482
佳,5479
每日,5479
首席,5477
所有人,5476
臨床,5472
必要,5467
時報,5466
東南亞,5466
經濟學家,5459
不確定性,5458
蔡,5447
土耳其,5446
現象,5443
額,5440
憑證,5439
前一日,5439
氣氛,5438
銷量,5437
落實,5428
位置,5426
視為,5422
樓,5421
感覺,5420
刺激,5420
監督,5418
義大利,5417
市長,5415
爭取,5392
差,5385
C,5384
住宅,5384
配置,5380
良好,5377
單日,5365
加徵,5358
知名,5349
爆發,5333
NA,5332
早,5332
確實,5325
上限,5324
減產,5321
辨識,5309
委託,5309
導入,5307
FED,5298
除權息,5294
發揮,5291
月減,5290
推進,5290
美光,5289
全數,5288
尺寸,5286
升溫,5284
正面,5283
顯著,5276
顧問,5273
沖銷,5271
溝通,5270
一金,5270
身份,5268
含本次,5262
拉貨,5259
成果,5258
搭配,5250
綠能,5247
一家,5245
銷售量,5238
稅率,5235
整個,5234
情勢,5232
鋼,5231
售價,5230
回溫,5228
通常,5221
地位,5207
減碼,5205
吃,5203
華碩,5202
條,5202
穩懋,5201
認證,5200
選股,5199
分行,5189
呼籲,5189
有沒有,5188
學習,5187
大廠,5181
好像,5178
民間,5177
偏,5173
每天,5166
各項,5163
攜手,5161
運動,5160
運輸,5157
公共,5153
越,5152
幾個,5148
大樓,5144
有助,5142
登場,5137
匯市,5136
低檔,5128
人壽,5126
自動,5117
唯一,5116
中性,5110
走弱,5107
人行,5107
以前,5105
想要,5100
復甦,5098
中小,5095
奇力新,5093
總資產,5091
架構,5088
試驗,5080
名單,5079
新創,5075
一波,5072
本季,5070
馬來西亞,5061
收跌,5059
Google,5057
質疑,5057
農業,5056
韓,5053
螢幕,5050
紛紛,5044
人力,5038
設施,5036
做出,5035
威脅,5032
台新,5029
移動,5019
橡膠,5004
PC,4998
外銷,4997
半年,4986
一段,4986
櫃檯,4968
公投,4961
優化,4951
權證,4944
報酬率,4944
Q3,4942
台達電,4941
英鎊,4935
釋出,4935
簡稱,4935
六十個,4933
電話,4931
仍將,4930
受限,4929
繼,4929
禁止,4928
概念,4927
立場,4921
滿足,4912
港幣,4901
真正,4900
現有,4895
之際,4890
類似,4886
額度,4885
取消,4884
賴清德,4876
受邀,4876
解除,4869
週轉率,4863
變成,4863
歷年,4860
屆滿,4855
會員,4855
空頭,4848
陸資,4846
定存,4843
棉花,4842
難以,4841
美方,4840
本業,4830
效果,4824
用途,4818
依然,4818
水桶,4813
十大,4813
衡量,4812
稀釋,4811
將受,4810
確保,4808
這也,4805
NB,4804
止跌,4796
詳閱,4795
失守,4794
小漲,4789
製造商,4789
共計,4789
感謝,4786
十年,4784
原料,4783
少,4780
台泥,4778
高層,4776
主流,4775
逼近,4770
變數,4765
季度,4763
有助於,4760
面額,4759
辭職,4758
a,4753
屬於,4750
反對,4746
中美晶,4744
謹慎,4744
維護,4741
對外,4739
生物,4735
還在,4733
調升,4732
發電,4727
拉抬,4718
狀態,4711
世紀,4698
樂陞,4696
玉山金,4692
稅前盈餘,4691
股稅,4681
得到,4681
可能性,4681
區,4675
服務業,4675
合,4674
運算,4668
看看,4668
最好,4664
缺口,4663
最低,4660
主委,4648
計價,4648
換發,4644
營益率,4641
浩鼎,4640
判斷,4637
流通,4637
規畫,4635
大會,4631
網,4622
XQ,4618
低迷,4614
過度,4610
隻,4609
玩,4607
轉強,4606
出爐,4605
y,4603
清楚,4603
店頭,4602
確認,4602
成員,4601
涉及,4590
單一,4589
勁揚,4588
當天,4588
天然氣,4583
現階段,4579
美律,4578
收紅,4578
創意,4577
未能,4576
寶,4573
自然人,4571
息,4570
騰訊,4567
潛力,4567
萎縮,4565
科,4553
嘉實,4549
同業,4543
處理器,4542
成績,4540
兩國,4530
法令,4530
表態,4526
當局,4524
對手,4521
塊,4512
以後,4512
財富,4511
提振,4509
從事,4504
HK,4498
跌深,4496
柯文哲,4495
半年線,4490
接單,4488
暗示,4487
化學,4484
更新,4484
版,4484
將以,4482
ctrl,4476
新品,4475
公平,4474
逆,4473
PMI,4472
收復,4471
巴西,4471
平倉,4471
學生,4470
南,4469
展現,4467
互聯網,4461
物流,4457
短,4455
加大,4452
法規,4450
打算,4450
買方,4447
南非幣,4445
優質,4444
交割,4444
屬,4442
跌勢,4434
馬,4433
歡迎,4431
互見,4430
退出,4427
基地,4427
資本額,4426
推,4422
流入,4420
資深,4419
升至,4418
白宮,4413
轉向,4413
交付,4412
大戶,4412
現場,4410
藉由,4409
據了解,4409
種,4408
銀,4406
龐大,4404
量縮,4397
感測,4396
增溫,4395
分鐘,4395
醫院,4387
期限,4386
泰國,4386
永豐金,4385
用於,4377
日平均,4372
具備,4364
面積,4362
筆電,4362
大於,4361
暫時,4361
中華民國,4352
爭議,4351
死亡,4346
適合,4346
審慎,4344
桃園,4343
太多,4341
有點,4338
中小型股,4338
密切,4331
德,4330
市占率,4329
開賣,4329
興建,4325
盎司,4324
治療,4320
供需,4317
肯定,4316
進度,4314
無線,4313
回穩,4312
義務,4311
內需,4302
史上,4300
休市,4294
堅持,4291
費城,4288
季減,4285
縮,4282
放,4280
精密,4278
壽險,4277
借款,4270
港元,4264
遭到,4263
呈,4263
領導,4262
審計,4258
動態,4255
據點,4253
產線,4252
PCB,4249
中期,4245
立即,4242
並應,4237
漲跌幅,4235
可期,4233
CNBC,4232
高盛,4230
波,4230
代表人,4224
港,4223
幫,4220
收黑,4219
加劇,4218
經濟日報,4216
零件,4213
戶,4210
兆豐,4208
檢附,4205
表達,4204
一週,4202
鴻,4197
Ｘ,4196
衝突,4195
級,4193
成分股,4191
酒店,4190
上銀,4189
較前,4189
訪問,4187
東協,4185
電力,4181
打壓,4181
銷貨,4179
初步,4178
規格,4174
解釋,4174
總數,4170
許可,4168
認售,4166
投票,4165
關聯,4164
NAND,4163
信用卡,4162
便宜,4161
中信,4160
手續費,4157
中興,4155
台新金,4155
運作,4145
拉升,4142
不重,4140
動向,4138
訊號,4137
下同,4135
差距,4124
尋求,4124
實境,4123
北美,4110
募集,4109
特殊,4109
Q2,4104
廣告,4101
航運,4101
機種,4097
翻黑,4095
前往,4095
精選,4092
鎖定,4090
遞延,4087
台化,4082
局勢,4079
型態,4078
udn,4072
調節,4072
權重,4070
顧立雄,4066
文件,4064
晶電,4062
台塑化,4058
中方,4057
再創,4057
訴訟,4056
過後,4051
一價,4049
拚,4049
IPO,4044
園區,4042
辦公室,4041
台大,4034
谷歌,4033
台指,4030
回測,4028
各地,4024
網通,4021
即可,4020
自然,4020
上證,4019
性質,4018
普爾,4018
充電,4014
東西,4013
收低,4012
亞,4002
負擔,4002
台南,4002
大豆,3998
開發金,3993
這波,3992
第一次,3991
口至,3990
主動,3987
過長,3986
中油,3986
距離,3985
管制,3984
盤整,3984
民調,3983
補助,3982
當年,3975
告訴,3974
微軟,3973
類別,3972
綺,3970
HTC,3963
借券,3962
放空,3960
經紀,3960
創高,3959
總部,3954
感到,3952
力量,3952
水位,3951
等於,3948
LINE,3947
尚,3945
條例,3945
數額,3944
終端,3941
驅動,3939
站穩,3939
法案,3937
林,3937
一天,3933
元大金,3931
打擊,3930
攻擊,3926
信昌,3925
保單,3923
出具,3923
暴跌,3922
放棄,3921
天期,3919
下單,3916
國安,3913
補貼,3912
新款,3911
選,3907
新廠,3906
經理,3898
高速,3896
不含,3892
水平,3892
意義,3891
....,3886
例,3886
份額,3885
並將,3883
機器,3879
會不會,3879
證明,3874
負面,3873
有意,3869
調高,3868
電動,3865
※,3863
生態,3861
遠傳,3854
毛損,3853
了結,3853
金融業,3852
上任,3852
上路,3852
一種,3852
